Sample,Terrace,Species,Replicate,EcoType,Carbon ,Nitrogen,Phenolics,Aluminum,Boron,Calcium,Cadmium,Copper,Iron,Potassium,Magnesium,Manganese,Molybdenum,Sodium,Phosphorus,Lead,Sulfur,Silicon,Zinc
T3V3,Three,Vaccinium,3,T3V,,,10.3,2157.33,96.22,5985.74,0,19,88.42,8693.31,2164.49,270.23,0.27,1990.62,590.07,0.36,1736.87,217.46,15.01
T3V4,Three,Vaccinium,4,T3V,,,12.6,192.96,66.58,2606.62,0,6.65,43.85,6988.6,1644.16,26.76,0.14,1157.16,404.22,0,1102.84,221.7,3.81
T3V5,Three,Vaccinium,5,T3V,43.84,0.47,9,,,,,,,,,,,,,,,,
T3V6,Three,Vaccinium,6,T3V,,,10.3,1313.87,77.91,7451.89,0.08,6.85,35.97,3040.1,2519.38,37.74,0.17,823.2,253.85,0.71,1082.67,410.26,25.86
T3V7,Three,Vaccinium,7,T3V,,,10,1309.04,35.46,7813.29,0,8.26,31.21,6792.77,1382.95,128.67,0,849.19,550.69,0,926.48,375.08,9.62
T3V8,Three,Vaccinium,8,T3V,,,5,398.54,62.66,4533.5,0.06,8.38,42.08,4704.62,2753.7,66.47,3.32,971.92,411.44,0,1172.15,239.94,15.65
T3V9,Three,Vaccinium,9,T3V,46.68,0.59,7.3,,,,,,,,,,,,,,,,
T4V1,Four,Vaccinium,1,T4V,,,10.8,120.2,27.24,4480.2,0.05,8.07,36.72,7975.99,1546.67,57.09,0,630.58,561.65,0.12,1412.2,141.5,6.96
T4V10,Four,Vaccinium,10,T4V,42.11,0.44,12.4,1522.42,52.56,4782.17,0.05,6.92,49.64,4598.48,1949.91,138.02,0.1,865.81,545.37,0.31,1003.72,189.56,12.88
T4V2,Four,Vaccinium,2,T4V,45.19,0.44,11.3,208.64,39.37,4157.61,0.04,5.95,25.17,6879.34,2058.59,77.07,0,1374.61,446.76,0,997.76,118.13,11.11
T4V3,Four,Vaccinium,3,T4V,39.21,0.35,9.3,134.44,32.75,4570.38,0.06,5.73,57.86,7155.39,1438.34,38.51,0,1079,599.29,0,1226.53,121.23,7.97
T4V4,Four,Vaccinium,4,T4V,43.86,0.26,13.6,172.55,55.16,4639.21,0.09,5.78,29.22,5038.96,1980.22,74.15,0,1499.94,364.5,0,1050.26,145.96,15.16
