,Kingdom,Phylum,Class,Order,Family,Confidence
ASV8835,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,1
ASV8836,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,1
ASV8838,Bacteria,Planctomycetes,Phycisphaerae,WD2101,NA,1
ASV8839,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,1
ASV8841,Bacteria,Planctomycetes,vadinHA49,DH61,NA,1
ASV8844,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,1
ASV8845,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,1
ASV8850,Bacteria,Gemmatimonadetes,Gemm-3,NA,NA,1
ASV8851,Bacteria,TM6,SBRH58,NA,NA,1
ASV8852,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,0.67
ASV8853,Bacteria,Proteobacteria,TA18,PHOS-HD29,NA,1
ASV8854,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,1
ASV8856,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,1
ASV8858,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,1
ASV8859,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,AK1AB1_02E,1
ASV8860,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,1
ASV8861,Bacteria,Cyanobacteria,Chloroplast,Haptophyceae,NA,1
ASV8863,Bacteria,Proteobacteria,Deltaproteobacteria,MIZ46,NA,1
ASV8865,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,1
ASV8867,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,1
ASV8868,Bacteria,OP3,koll11,GIF10,kpj58rc,1
ASV8871,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,1
ASV8873,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,1
ASV8875,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,1
ASV8877,Bacteria,WPS-2,NA,NA,NA,1
ASV8880,Bacteria,TM7,TM7-3,I025,NA,0.67
ASV8882,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,1
ASV8883,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,1
ASV8885,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,1
ASV8889,Bacteria,Cyanobacteria,ML635J-21,NA,NA,1
ASV8891,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,1
ASV8900,Bacteria,Proteobacteria,Alphaproteobacteria,BD7-3,NA,1
ASV8902,Bacteria,Chloroflexi,Chloroflexi,AKIW781,NA,1
ASV8904,Bacteria,Chloroflexi,C0119,NA,NA,1
ASV8908,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,1
ASV8911,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,1
ASV8913,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,1
